,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
SATB1,,,159.0,159.0,
SAV1,,,109.5,109.5,
SBDS,60.0,101.5,122.0,94.5,31.58718094417417
SBDSP1,64.0,,,64.0,
SBNO1,,,176.0,176.0,
SC5D,,106.5,136.0,121.25,20.859650045003153
SCAF11,,232.0,141.0,186.5,64.34671708797582
SCAI,126.0,,,126.0,
SCAMP1,,,122.0,122.0,
SCAMP1-AS1,69.0,,165.5,117.25,68.23580438450183
SCAMP2,91.0,124.0,92.0,102.33333333333333,18.77054430040145
SCAMP3,98.0,117.0,107.5,107.5,9.5
SCAND1,87.5,,,87.5,
SCAP,96.0,148.0,,122.0,36.76955262170047
SCARA3,112.0,,,112.0,
SCARB1,115.0,,,115.0,
SCARB2,84.0,158.0,115.5,119.16666666666667,37.13601127387449
SCCPDH,,,125.0,125.0,
SCD,94.5,123.0,114.0,110.5,14.568802284333465
SCFD1,,83.0,137.0,110.0,38.18376618407357
SCG3,,102.0,,102.0,
SCG5,,138.0,,138.0,
SCGB3A2,,95.5,,95.5,
SCMH1,,,61.0,61.0,
SCML1,89.0,,189.0,139.0,70.71067811865476
SCN3A,,,177.0,177.0,
SCNM1,95.0,118.0,110.0,107.66666666666667,11.67618659209133
SCNN1A,,155.0,,155.0,
SCO1,90.5,118.5,,104.5,19.79898987322333
SCO2,67.0,,,67.0,
SCOC,,100.0,136.5,118.25,25.809397513308983
SCP2,,132.5,126.0,129.25,4.596194077712559
SCPEP1,81.0,126.0,149.0,118.66666666666667,34.58805188693537
SCRG1,,,127.0,127.0,
SCRN1,,143.0,129.0,136.0,9.899494936611665
SCRN2,97.5,131.0,108.0,112.16666666666667,17.13427364475464
SCYL2,,,140.0,140.0,
SDC1,113.5,,,113.5,
SDC2,,,101.5,101.5,
SDC4,108.0,,,108.0,
SDCBP,96.5,117.0,103.0,105.5,10.476163419878482
SDCCAG3,99.0,,,99.0,
SDCCAG8,,120.0,128.0,124.0,5.656854249492381
SDF2,80.0,101.5,122.5,101.33333333333333,21.250490190424628
SDF2L1,78.0,,,78.0,
SDF4,89.5,,,89.5,
SDHA,82.0,110.5,105.0,99.16666666666667,15.11897262823547
SDHAF1,95.0,,,95.0,
SDHAF3,,,186.0,186.0,
SDHB,71.0,106.0,131.0,102.66666666666667,30.13856886670854
SDHC,83.0,96.0,105.5,94.83333333333333,11.29527924990495
SDHD,94.0,,,94.0,
SDR39U1,95.0,122.0,205.0,140.66666666666666,57.326549986313786
SEC11A,76.0,118.0,112.0,102.0,22.715633383201094
SEC11C,75.0,78.5,108.5,87.33333333333333,18.414215523158553
SEC13,84.0,104.0,108.5,98.83333333333333,13.04160010632642
SEC16A,112.0,,189.0,150.5,54.44722215136416
SEC22B,95.0,128.0,137.0,120.0,22.11334438749598
SEC22C,75.0,100.0,148.0,107.66666666666667,37.09896674212549
SEC23A,,,163.0,163.0,
SEC23B,80.0,114.0,108.0,100.66666666666667,18.14754345175493
SEC23IP,,124.0,160.0,142.0,25.45584412271571
SEC24A,,,148.5,148.5,
SEC24B,,,142.0,142.0,
SEC24C,112.5,97.0,192.0,133.83333333333334,50.96649226043846
SEC24D,,,121.0,121.0,
SEC31A,,127.0,179.0,153.0,36.76955262170047
SEC61A1,96.5,,,96.5,
SEC61B,87.0,86.0,111.0,94.66666666666667,14.153915830374762
SEC61G,81.0,98.5,121.5,100.33333333333333,20.312147432837655
SEC62,,95.0,110.0,102.5,10.606601717798213
SEC63,,100.0,124.0,112.0,16.97056274847714
SECISBP2,,,279.0,279.0,
SEH1L,61.0,93.0,,77.0,22.627416997969522
SEL1L,,,144.0,144.0,
SEL1L3,96.0,114.0,,105.0,12.727922061357855
SELENBP1,82.0,83.0,125.5,96.83333333333333,24.831096096091557
SELK,86.0,135.0,133.0,118.0,27.730849247724095
SELM,104.0,,102.5,103.25,1.0606601717798212
SELT,85.0,127.0,147.0,119.66666666666667,31.643851430148846
SEMA4B,115.5,,,115.5,
SEMA4D,,185.5,,185.5,
SEMA5A,,,132.0,132.0,
SEMA6A,,126.0,155.0,140.5,20.506096654409877
SEMA6D,,,162.5,162.5,
SENP2,,120.0,,120.0,
SENP5,,,327.0,327.0,
SENP6,,,210.5,210.5,
SENP7,,,235.0,235.0,
SEP15,80.0,88.0,135.5,101.16666666666667,30.00138885674017
SEPHS1,85.0,110.0,137.0,110.66666666666667,26.00640946638604
SEPHS2,87.0,,,87.0,
SEPP1,,132.5,136.0,134.25,2.4748737341529163
SEPT10,,133.0,138.0,135.5,3.5355339059327378
SEPT11,,132.5,174.0,153.25,29.34493141924172
SEPT2,75.0,105.0,128.5,102.83333333333333,26.815729215021047
SEPT6,90.0,,112.0,101.0,15.556349186104045
SEPT7,92.0,112.0,110.0,104.66666666666667,11.015141094572204
SEPT7P2,,,215.0,215.0,
SEPT8,,,210.0,210.0,
SEPW1,104.0,112.0,116.0,110.66666666666667,6.110100926607786
SERBP1,78.5,120.5,112.0,103.66666666666667,22.20547980416846
SERF2,87.0,116.0,114.0,105.66666666666667,16.19670748434179
SERINC1,,115.0,142.0,128.5,19.091883092036785
SERINC3,79.5,,,79.5,
SERINC5,,126.0,136.0,131.0,7.0710678118654755
SERP1,91.5,,95.0,93.25,2.4748737341529163
SERPINA1,,,129.0,129.0,
SERPINA6,,,123.5,123.5,
SERPINA7,,,96.5,96.5,
SERPINB1,70.0,100.0,,85.0,21.213203435596427
SERPINB5,79.0,,,79.0,
SERPINB6,83.0,127.0,111.0,107.0,22.271057451320086
SERPINB9,,150.0,165.0,157.5,10.606601717798213
SERPINB9P1,67.0,,,67.0,
SERPINC1,,,111.0,111.0,
SERPIND1,,,90.0,90.0,
SERPINE1,80.0,,,80.0,
SERPINE2,,77.0,123.0,100.0,32.526911934581186
SERPINF1,,,121.0,121.0,
SERPING1,,124.0,90.0,107.0,24.041630560342615
SERPINH1,104.0,115.0,111.0,110.0,5.5677643628300215
SERTAD1,92.5,,,92.5,
SERTAD2,,,77.5,77.5,
SERTAD3,119.0,,138.5,128.75,13.788582233137676
SESN2,127.0,,,127.0,
SESN3,,129.0,129.0,129.0,0.0
SESTD1,,,143.0,143.0,
SET,75.0,94.0,111.0,93.33333333333333,18.009256878986797
SETD2,,,229.0,229.0,
SETD3,65.5,,102.0,83.75,25.809397513308983
SETD4,85.5,130.5,158.0,124.66666666666667,36.60031875999625
SETD7,90.5,,,90.5,
SETD9,,,99.0,99.0,
SETDB1,124.0,175.0,197.0,165.33333333333334,37.4477413649119
SETX,,,210.0,210.0,
SEZ6L2,111.0,87.0,,99.0,16.97056274847714
SF1,145.5,,210.0,177.75,45.608387386532314
SF3A1,50.0,,,50.0,
SF3A3,78.0,100.0,107.0,95.0,15.132745950421556
SF3B1,,127.5,210.0,168.75,58.33630944789017
SF3B2,105.0,113.0,144.0,120.66666666666667,20.5993527406405
SF3B3,106.0,142.5,119.0,122.5,18.5
SF3B4,122.5,,,122.5,
SF3B5,82.0,123.5,97.0,100.83333333333333,21.013884299037464
SF3B6,83.0,92.5,95.0,90.16666666666667,6.331139971074193
SFPQ,92.0,149.0,268.0,169.66666666666666,89.80163324424191
SFR1,,84.0,111.0,97.5,19.091883092036785
SFRP1,,98.0,102.0,100.0,2.8284271247461903
SFRP2,,113.0,,113.0,
SFT2D1,65.5,121.5,164.0,117.0,49.40394721072396
SFT2D2,,,183.0,183.0,
SFXN1,,,117.5,117.5,
SFXN3,119.5,,,119.5,
SFXN4,72.0,,101.5,86.75,20.859650045003153
SGCB,,52.0,105.0,78.5,37.476659402887016
SGCE,70.5,123.0,150.0,114.5,40.425858061394315
SGF29,97.0,,115.5,106.25,13.08147545195113
SGK1,99.0,,,99.0,
SGPL1,,,124.0,124.0,
SGTA,115.0,,,115.0,
SH2D4A,101.0,,,101.0,
SH3BGRL,89.0,106.0,114.0,103.0,12.767145334803704
SH3BGRL3,99.0,120.0,119.0,112.66666666666667,11.846237095944574
SH3GLB1,107.0,92.0,125.0,108.0,16.522711641858304
SH3KBP1,79.0,,,79.0,
SH3PXD2A,,,151.5,151.5,
SH3YL1,,,183.0,183.0,
SHARPIN,74.0,127.0,,100.5,37.476659402887016
SHC1,104.0,,,104.0,
SHFM1,80.0,120.0,95.5,98.5,20.168044030098706
SHISA5,88.0,101.5,107.5,99.0,9.987492177719089
SHKBP1,89.0,,,89.0,
SHMT1,84.5,132.5,117.0,111.33333333333333,24.49659840331578
SHMT2,92.0,101.5,104.0,99.16666666666667,6.331139971074193
SHOC2,,,161.0,161.0,
SHTN1,,,249.0,249.0,
SIAE,97.0,,129.5,113.25,22.980970388562795
SIAH2,107.0,,,107.0,
SIDT2,,,118.0,118.0,
SIGIRR,105.5,,,105.5,
SIGMAR1,96.0,125.0,,110.5,20.506096654409877
SIKE1,,,202.5,202.5,
SIL1,102.0,,128.0,115.0,18.384776310850235
SIN3A,,,175.0,175.0,
SIPA1L1,,,189.0,189.0,
SIRT1,,147.0,110.0,128.5,26.16295090390226
SIRT2,97.0,59.0,124.0,93.33333333333333,32.65475973473596
SIVA1,68.0,88.0,104.0,86.66666666666667,18.036999011291577
SKA2,,,89.5,89.5,
SKIL,,102.0,168.0,135.0,46.66904755831214
SKIV2L2,,145.0,145.0,145.0,0.0
SKP1,92.5,118.0,109.0,106.5,12.932517156377562
SKP2,90.0,123.5,164.5,126.0,37.31286641361127
SLAIN2,,,200.5,200.5,
SLBP,72.0,,184.5,128.25,79.5495128834866
SLC10A3,110.0,,,110.0,
SLC11A2,95.0,146.0,156.0,132.33333333333334,32.715949219506584
SLC12A3,98.0,,,98.0,
SLC16A1,103.0,119.0,124.0,115.33333333333333,10.96965511460289
SLC16A2,,108.5,149.0,128.75,28.637824638055175
SLC16A5,79.0,,,79.0,
SLC17A5,67.5,,,67.5,
SLC19A1,79.5,,,79.5,
SLC1A3,114.0,,249.0,181.5,95.45941546018392
SLC1A5,85.5,105.0,90.5,93.66666666666667,10.128343069492331
SLC20A1,123.0,,141.0,132.0,12.727922061357855
SLC22A17,,,167.5,167.5,
SLC22A18,91.5,,,91.5,
SLC22A7,,,116.0,116.0,
SLC25A1,86.0,,,86.0,
SLC25A11,91.0,121.5,120.5,111.0,17.327723451163457
SLC25A13,,129.0,142.0,135.5,9.192388155425117
SLC25A14,108.0,,,108.0,
SLC25A17,61.0,90.5,138.0,96.5,38.84906691286162
SLC25A19,79.5,122.0,,100.75,30.05203820042827
SLC25A20,88.0,,138.0,113.0,35.35533905932738
SLC25A24,125.0,,139.0,132.0,9.899494936611665
SLC25A26,100.5,112.0,104.5,105.66666666666667,5.838093296045665
SLC25A28,86.0,,,86.0,
SLC25A3,87.0,96.0,87.0,90.0,5.196152422706632
SLC25A36,,154.5,238.0,196.25,59.04341622907672
SLC25A37,86.0,,,86.0,
SLC25A38,93.0,110.0,96.0,99.66666666666667,9.073771725877467
SLC25A39,91.0,118.0,114.0,107.66666666666667,14.571661996262929
SLC25A4,85.0,93.5,107.5,95.33333333333333,11.36148464476951
SLC25A40,,,291.0,291.0,
SLC25A44,,117.0,,117.0,
SLC25A46,,,238.0,238.0,
SLC25A5,74.0,81.0,77.5,77.5,3.5
SLC25A6,74.0,114.5,78.0,88.83333333333333,22.317780654297444
SLC26A6,,91.0,144.0,117.5,37.476659402887016
SLC27A2,83.5,,,83.5,
SLC27A4,83.0,,,83.0,
SLC27A5,98.0,,,98.0,
SLC29A1,98.5,118.5,101.0,106.0,10.897247358851684
SLC29A2,69.0,,,69.0,
SLC2A1,95.0,123.5,120.5,113.0,15.660459763365825
SLC2A3,96.0,111.0,109.0,105.33333333333333,8.144527815247079
SLC2A5,,,101.0,101.0,
SLC2A8,87.0,,,87.0,
SLC30A6,,131.5,174.5,153.0,30.405591591021544
SLC30A7,,,236.0,236.0,
SLC30A9,,90.0,124.5,107.25,24.39518395093589
SLC31A1,100.5,96.0,137.5,111.33333333333333,22.772424845266993
SLC31A2,102.0,,,102.0,
SLC33A1,94.0,,,94.0,
SLC35A4,79.0,90.0,105.0,91.33333333333333,13.051181300301263
SLC35A5,,110.0,186.5,148.25,54.09366876077089
SLC35B1,69.0,100.0,131.0,100.0,31.0
SLC35B4,,102.0,100.0,101.0,1.4142135623730951
SLC35C2,89.0,125.0,150.0,121.33333333333333,30.6648550189518
SLC35E1,123.0,,,123.0,
SLC35E2B,,,213.5,213.5,
SLC35F2,61.0,,,61.0,
SLC35F6,105.0,,,105.0,
SLC35G1,,,126.0,126.0,
SLC35G2,68.0,,,68.0,
SLC37A4,74.0,110.0,109.0,97.66666666666667,20.502032419575706
SLC38A1,90.0,121.0,185.0,132.0,48.4458460551573
SLC38A2,89.0,117.0,146.0,117.33333333333333,28.5014619508076
SLC38A5,82.0,,,82.0,
SLC39A1,96.0,108.0,116.0,106.66666666666667,10.066445913694334
SLC39A10,,100.0,127.0,113.5,19.091883092036785
SLC39A13,103.5,,,103.5,
SLC39A14,104.0,99.0,135.0,112.66666666666667,19.5021366350801
SLC39A2,,,98.0,98.0,
SLC39A5,,,139.0,139.0,
SLC39A6,138.0,,165.0,151.5,19.091883092036785
SLC39A7,98.0,110.0,153.5,120.5,29.201883500897676
SLC39A8,62.0,,,62.0,
SLC39A9,103.5,,129.0,116.25,18.031222920256962
SLC3A2,93.0,109.5,109.0,103.83333333333333,9.385272150200725
SLC40A1,,,135.0,135.0,
SLC41A3,94.0,,140.0,117.0,32.526911934581186
SLC44A1,,151.0,171.0,161.0,14.142135623730951
SLC44A2,97.5,121.0,149.5,122.66666666666667,26.040033282108787
SLC48A1,101.0,,,101.0,
SLC4A1AP,,150.0,149.0,149.5,0.7071067811865476
SLC4A2,118.5,,,118.5,
SLC4A7,,,212.0,212.0,
SLC4A8,,89.0,,89.0,
SLC50A1,105.0,139.0,152.0,132.0,24.269322199023193
SLC52A2,58.5,,,58.5,
SLC5A12,,,63.5,63.5,
SLC5A3,,,172.0,172.0,
SLC5A6,96.0,105.0,103.0,101.33333333333333,4.725815626252608
SLC6A15,130.0,,,130.0,
SLC6A6,,137.5,,137.5,
SLC6A8,93.5,,,93.5,
SLC7A1,136.5,,,136.5,
SLC7A11,88.5,,,88.5,
SLC7A2,118.0,,136.0,127.0,12.727922061357855
SLC7A3,,109.5,,109.5,
SLC7A5,120.0,,,120.0,
SLC7A6,,,226.5,226.5,
SLC7A6OS,52.0,,138.0,95.0,60.81118318204309
SLC7A7,,,100.0,100.0,
SLC8B1,125.0,,,125.0,
SLC9A3R1,89.0,,132.0,110.5,30.405591591021544
SLCO4A1,96.0,,,96.0,
SLF1,98.0,,,98.0,
SLF2,,,175.0,175.0,
SLIRP,56.0,107.0,107.0,90.0,29.444863728670914
SLIT2,,,146.0,146.0,
SLIT3,,,124.0,124.0,
SLK,,,119.0,119.0,
SLN,,,115.0,115.0,
SLPI,100.0,,,100.0,
SLTM,,,201.0,201.0,
SLU7,,104.0,98.0,101.0,4.242640687119285
SMAD2,84.0,60.0,83.0,75.66666666666667,13.576941236277534
SMAD3,,,116.0,116.0,
SMAD4,,,195.5,195.5,
SMAD5,,,138.0,138.0,
SMAGP,73.5,,,73.5,
SMAP1,,,152.0,152.0,
SMAP2,125.5,,,125.5,
SMARCA1,,153.5,161.0,157.25,5.303300858899107
SMARCA4,120.0,,,120.0,
SMARCA5,,144.0,154.5,149.25,7.424621202458749
SMARCAD1,,,121.0,121.0,
SMARCAL1,,,88.0,88.0,
SMARCC1,65.0,119.0,109.0,97.66666666666667,28.728615235220325
SMARCD2,,137.5,,137.5,
SMARCE1,,,92.0,92.0,
SMC1A,63.5,125.0,86.0,91.5,31.11671576500322
SMC2,,,151.0,151.0,
SMC3,,149.5,139.5,144.5,7.0710678118654755
SMC4,,136.0,191.5,163.75,39.244426355853385
SMC6,,,115.0,115.0,
SMCHD1,,,186.5,186.5,
SMG1,,,247.0,247.0,
SMG7,97.0,,101.5,99.25,3.181980515339464
SMIM10,71.5,,,71.5,
SMIM10L1,70.0,,100.0,85.0,21.213203435596427
SMIM12,97.0,,,97.0,
SMIM13,120.0,,,120.0,
SMIM14,51.5,107.0,99.0,85.83333333333333,30.00138885674017
SMIM15,,121.0,79.0,100.0,29.698484809834994
SMIM19,70.0,90.0,131.0,97.0,31.096623610932426
SMIM20,112.0,79.5,102.0,97.83333333333333,16.645820296198483
SMIM3,,83.0,112.0,97.5,20.506096654409877
SMIM4,83.5,,,83.5,
SMIM8,,,112.0,112.0,
SMLR1,,,97.5,97.5,
SMOC1,113.0,,,113.0,
SMOX,112.5,,,112.5,
SMPDL3B,95.0,92.0,,93.5,2.1213203435596424
SMS,80.0,106.0,110.0,98.66666666666667,16.289055630494158
SMU1,111.0,127.0,169.0,135.66666666666666,29.955522584881294
SMUG1,79.0,113.0,68.0,86.66666666666667,23.459184413217212
SMYD2,75.0,,160.5,117.75,60.45762979144981
SMYD3,114.0,79.0,140.5,111.16666666666667,30.847744379992086
SMYD5,116.0,,156.5,136.25,28.637824638055175
SNAI2,,,87.0,87.0,
SNAP23,85.0,104.5,141.0,110.16666666666667,28.426806597529264
SNAP25,,,158.0,158.0,
SNAP47,91.0,90.0,91.0,90.66666666666667,0.5773502691896257
SNAPC3,,,66.5,66.5,
SNAPC5,83.0,136.0,116.0,111.66666666666667,26.764404221527766
SNAPIN,81.0,103.0,112.5,98.83333333333333,16.158073317488483
SNCA,96.0,,111.0,103.5,10.606601717798213
SNCG,,,115.0,115.0,
SND1,83.5,110.5,94.0,96.0,13.6106575888162
SNF8,109.0,,,109.0,
SNHG1,104.0,224.0,262.0,196.66666666666666,82.47019663692656
SNHG11,113.0,,,113.0,
SNHG14,,202.0,206.0,204.0,2.8284271247461903
SNHG15,123.0,157.0,189.0,156.33333333333334,33.005050118630834
SNHG16,105.0,91.5,132.0,109.5,20.62159062730128
SNHG17,111.0,,168.0,139.5,40.30508652763321
SNHG18,,,118.0,118.0,
SNHG25,89.0,,,89.0,
SNHG5,81.0,116.0,145.0,114.0,32.046840717924134
SNHG6,84.5,100.0,119.0,101.16666666666667,17.279564037710365
SNHG7,84.0,,,84.0,
SNHG8,112.0,146.5,203.0,153.83333333333334,45.94108546098289
SNN,,77.5,121.0,99.25,30.759144981614817
SNRNP200,106.0,122.0,125.0,117.66666666666667,10.214368964029708
SNRNP25,67.0,,181.0,124.0,80.61017305526642
SNRNP35,102.0,,116.0,109.0,9.899494936611665
SNRNP40,120.0,140.0,138.5,132.83333333333334,11.139269874337964
SNRPA1,83.0,91.0,125.0,99.66666666666667,22.300971578236975
SNRPB,106.0,,,106.0,
SNRPB2,78.5,105.0,118.5,100.66666666666667,20.349037651283005
SNRPC,77.0,99.5,106.5,94.33333333333333,15.4137384606504
SNRPD1,84.0,109.0,130.0,107.66666666666667,23.028967265887832
SNRPD2,89.0,112.0,93.5,98.16666666666667,12.189476335484365
SNRPD3,114.0,125.0,134.0,124.33333333333333,10.016652800877813
SNRPE,79.0,107.0,81.0,89.0,15.620499351813308
SNRPF,139.5,138.0,116.0,131.16666666666666,13.156113914577256
SNRPG,77.0,108.0,130.0,105.0,26.627053911388696
SNTA1,91.0,,,91.0,
SNU13,96.0,100.0,101.5,99.16666666666667,2.8431203515386634
SNW1,81.0,91.0,107.0,93.0,13.114877048604
SNX1,115.0,,163.0,139.0,33.94112549695428
SNX11,102.0,140.5,141.0,127.83333333333333,22.373719702663063
SNX12,127.0,,,127.0,
SNX13,,,245.0,245.0,
SNX14,,,204.0,204.0,
SNX17,103.0,114.0,118.0,111.66666666666667,7.76745346515403
SNX2,,75.0,94.5,84.75,13.788582233137676
SNX27,,,209.0,209.0,
SNX3,60.0,95.5,111.0,88.83333333333333,26.145426623662757
SNX30,,,140.5,140.5,
SNX5,72.0,160.0,220.0,150.66666666666666,74.44013254510858
SNX6,107.0,112.0,111.5,110.16666666666667,2.7537852736430506
SNX7,,,86.0,86.0,
SNX8,94.0,106.5,,100.25,8.838834764831844
SOAT1,65.0,,,65.0,
SOCS3,121.5,,,121.5,
SOCS4,,,184.0,184.0,
SOCS6,,,128.5,128.5,
SOD1,79.0,115.0,107.0,100.33333333333333,18.90326250501043
SOD2,76.0,68.0,90.5,78.16666666666667,11.405408073950417
SON,,104.0,179.5,141.75,53.386561979584336
SORBS1,,,238.5,238.5,
SORD,71.0,,,71.0,
SORL1,,130.0,,130.0,
SORT1,,112.0,141.0,126.5,20.506096654409877
SOS1,,,148.5,148.5,
SOSTDC1,,,145.0,145.0,
SOX11,,213.5,132.0,172.75,57.62920266670363
SOX4,,,169.0,169.0,
SP1,,,185.0,185.0,
SP3,,,155.0,155.0,
SPAG16,,,162.0,162.0,
SPAG4,80.0,,,80.0,
SPAG7,76.5,99.5,128.0,101.33333333333333,25.798901785411978
SPAG9,,,177.0,177.0,
SPARC,,120.0,109.0,114.5,7.7781745930520225
SPARCL1,,,110.0,110.0,
SPATA20,103.5,,138.5,121.0,24.748737341529164
SPATA33,160.0,,,160.0,
SPATA5L1,115.5,,,115.5,
SPATS2,,,165.0,165.0,
SPATS2L,,106.0,91.5,98.75,10.253048327204938
SPC24,128.5,,,128.5,
SPC25,,109.5,,109.5,
SPCS1,92.0,116.0,111.0,106.33333333333333,12.662279942148386
SPCS2,95.0,99.0,124.0,106.0,15.716233645501712
SPCS2P4,83.0,101.0,112.0,98.66666666666667,14.6401275039985
SPCS3,72.0,118.0,146.0,112.0,37.36308338453881
SPDL1,,113.0,147.0,130.0,24.041630560342615
SPECC1,71.0,,,71.0,
SPEN,,,171.0,171.0,
SPG11,,,121.0,121.0,
SPG20,,129.0,128.0,128.5,0.7071067811865476
SPG21,87.0,106.0,151.0,114.66666666666667,32.86842456421259
SPG7,,,224.0,224.0,
SPHK1,91.0,,,91.0,
SPICE1,,,282.0,282.0,
SPIDR,,119.0,,119.0,
SPIN1,85.0,143.0,194.5,140.83333333333334,54.78214429294761
SPIN2B,59.5,,,59.5,
SPINK1,,,115.0,115.0,
SPINK4,94.0,,,94.0,
SPINT1,,130.0,,130.0,
SPINT2,,124.5,,124.5,
SPIRE1,,,173.0,173.0,
SPOCK1,79.0,,,79.0,
SPON1,,,106.0,106.0,
SPOP,103.0,,137.5,120.25,24.39518395093589
SPP1,,113.0,133.5,123.25,14.495689014324224
SPPL2A,73.0,,,73.0,
SPPL3,109.5,,150.0,129.75,28.637824638055175
SPR,82.5,,,82.5,
SPRED1,,,165.0,165.0,
SPRY2,,,76.5,76.5,
SPRYD3,102.0,,,102.0,
SPRYD4,93.5,,,93.5,
SPSB3,95.0,108.0,161.5,121.5,35.245567097154215
SPTAN1,128.0,161.0,179.0,156.0,25.865034312755125
SPTBN1,,118.0,167.5,142.75,35.0017856687341
SPTLC1,81.0,126.5,148.0,118.5,34.20891696619465
SPTLC2,,109.0,111.0,110.0,1.4142135623730951
SPTSSA,65.0,100.0,133.0,99.33333333333333,34.004901607464376
SQLE,98.0,123.0,135.0,118.66666666666667,18.876793513023692
SQSTM1,88.0,101.0,118.0,102.33333333333333,15.044378795195678
SRA1,85.0,86.0,110.0,93.66666666666667,14.153915830374762
SRD5A1,157.0,,,157.0,
SRD5A3,66.5,55.0,78.0,66.5,11.5
SREK1,,,211.5,211.5,
SREK1IP1,,,106.5,106.5,
SRGAP2,,,164.5,164.5,
SRGAP3,,,251.5,251.5,
SRI,97.0,114.5,131.0,114.16666666666667,17.002450803732188
SRM,73.5,,,73.5,
SRP14,78.0,106.0,109.0,97.66666666666667,17.09775813764288
SRP14-AS1,92.5,,,92.5,
SRP54,73.0,115.0,99.0,95.66666666666667,21.197484127446195
SRP68,85.0,96.0,132.5,104.5,24.86463351831271
SRP9,66.0,98.5,120.0,94.83333333333333,27.1860871280391
SRPK1,,,180.5,180.5,
SRPK2,,,180.0,180.0,
SRPRA,91.0,113.0,148.0,117.33333333333333,28.74601421646718
SRPRB,104.0,104.5,107.0,105.16666666666667,1.6072751268321592
SRR,89.0,,63.0,76.0,18.384776310850235
SRRM1,,,234.0,234.0,
SRRT,132.0,,123.0,127.5,6.363961030678928
SRSF1,,70.0,131.5,100.75,43.487067042972676
SRSF10,60.0,109.5,172.5,114.0,56.38483838763751
SRSF11,111.0,211.5,224.5,182.33333333333334,62.11749619336998
SRSF2,107.5,139.0,243.0,163.16666666666666,70.90897921514124
SRSF3,77.0,94.0,136.0,102.33333333333333,30.369941279714936
SRSF4,81.0,137.5,138.5,119.0,32.912763481664676
SRSF5,,,145.0,145.0,
SRSF6,87.5,255.0,245.0,195.83333333333334,93.95255895042632
SRSF7,76.0,96.0,195.0,122.33333333333333,63.72074492136241
SRSF8,70.0,,100.5,85.25,21.5667568261897
SRSF9,112.5,117.0,127.0,118.83333333333333,7.421814692737439
SS18,,,157.0,157.0,
SS18L1,,,209.0,209.0,
SS18L2,106.0,150.0,179.5,145.16666666666666,36.987610538305034
SSB,,92.0,119.0,105.5,19.091883092036785
SSBP1,53.0,104.0,120.0,92.33333333333333,34.99047489436708
SSBP2,112.0,146.0,166.0,141.33333333333334,27.300793639257694
SSFA2,,,177.0,177.0,
SSNA1,80.0,119.5,92.0,97.16666666666667,20.25051439675875
SSR1,102.0,119.0,118.5,113.16666666666667,9.673847907287634
SSR2,90.0,98.0,99.0,95.66666666666667,4.932882862316247
SSR3,71.0,87.0,90.0,82.66666666666667,10.214368964029708
SSR4,99.0,123.0,101.0,107.66666666666667,13.316656236958787
SSRP1,84.0,91.5,117.0,97.5,17.298843892006193
SSSCA1,112.5,,86.5,99.5,18.384776310850235
SST,,,144.5,144.5,
SSU72,117.0,112.0,132.0,120.33333333333333,10.408329997330664
SSX2IP,,,165.0,165.0,
ST13,102.0,96.0,100.0,99.33333333333333,3.055050463303893
ST3GAL1,,,76.5,76.5,
ST3GAL3,144.0,,,144.0,
ST3GAL4,99.0,,,99.0,
ST3GAL4-AS1,82.0,,,82.0,
ST3GAL6,,,144.0,144.0,
ST6GAL1,,112.0,156.5,134.25,31.466251762801363
ST6GALNAC3,,,128.0,128.0,
ST6GALNAC4,97.5,,,97.5,
ST7,64.0,,,64.0,
ST7L,77.0,,,77.0,
STAG1,,,153.0,153.0,
STAG2,,,107.0,107.0,
STAG3L4,103.5,119.0,100.0,107.5,10.111874208078342
STAM,,,82.0,82.0,
STAMBP,93.0,93.0,128.5,104.83333333333333,20.495934556231713
STAMBPL1,97.5,,,97.5,
STAR,,,96.5,96.5,
STARD3,75.0,,,75.0,
STARD3NL,87.5,121.0,86.5,98.33333333333333,19.63627595378852
STARD4,,,157.5,157.5,
STARD7,105.5,127.0,132.5,121.66666666666667,14.26826315054966
STAT1,,,103.0,103.0,
STAT2,,,288.0,288.0,
STAT5B,92.0,141.0,187.0,140.0,47.50789408087881
STAU1,99.0,129.0,125.0,117.66666666666667,16.289055630494154
STC2,97.0,,,97.0,
STIP1,95.0,115.0,118.5,109.5,12.678722333105966
STK19,80.5,,,80.5,
STK24,85.5,115.5,70.0,90.33333333333333,23.13186834938616
STK25,85.0,,141.0,113.0,39.59797974644666
STK26,,,162.0,162.0,
STK38L,,,148.5,148.5,
STMN1,116.0,135.0,128.0,126.33333333333333,9.60902353693305
STMN2,,,97.0,97.0,
STOM,87.0,137.0,139.0,121.0,29.46183972531247
STOML1,99.0,,,99.0,
STOML2,76.0,99.0,106.0,93.66666666666667,15.69500982265807
STRA13,86.0,150.0,144.0,126.66666666666667,35.3459097114975
STRA6,,,239.0,239.0,
STRADB,94.0,,128.5,111.25,24.39518395093589
STRAP,74.0,105.0,100.0,93.0,16.64331697709324
STRBP,,,118.5,118.5,
STRIP1,,,190.5,190.5,
STRN,,,111.0,111.0,
STT3A,83.5,142.0,103.0,109.5,29.78674201721296
STT3B,,86.0,128.0,107.0,29.698484809834994
STUB1,75.5,,,75.5,
STX10,78.5,,178.0,128.25,70.35712472806148
