,HeLA_median,iPSC_median,Organoid_median,MEAN,SD
OXSR1,,115.5,195.0,155.25,56.21498910433053
P2RX4,88.0,115.0,118.0,107.0,16.522711641858304
P3H1,98.0,142.5,157.0,132.5,30.744918279286416
P3H2,,111.0,,111.0,
P3H3,,128.0,189.5,158.75,43.487067042972676
P3H4,96.0,,95.0,95.5,0.7071067811865476
P4HA1,,124.0,159.0,141.5,24.748737341529164
P4HA2,84.0,152.0,91.0,109.0,37.403208418530085
P4HB,103.0,107.0,103.0,104.33333333333333,2.3094010767585034
PA2G4,86.0,,,86.0,
PAAF1,94.0,69.0,104.0,89.0,18.027756377319946
PABPC1,34.0,,,34.0,
PABPC4,81.0,87.5,138.0,102.16666666666667,31.20229692399797
PAF1,88.5,,125.5,107.0,26.16295090390226
PAFAH1B1,87.0,108.5,185.0,126.83333333333333,51.508089979471514
PAFAH1B2,,91.0,153.0,122.0,43.840620433565945
PAFAH1B3,65.0,103.0,94.0,87.33333333333333,19.857828011475306
PAICS,82.5,113.5,114.0,103.33333333333333,18.043927879852916
PAIP2,71.5,108.5,124.5,101.5,27.184554438136374
PAK1,79.0,91.0,106.0,92.0,13.527749258468683
PAK1IP1,41.0,123.0,122.5,95.5,47.19904660054057
PAK2,,,120.5,120.5,
PALLD,111.0,,126.0,118.5,10.606601717798213
PAM,87.0,,159.0,123.0,50.91168824543142
PAN2,79.5,,235.0,157.25,109.95510447450815
PAN3,,,253.0,253.0,
PANK1,,,156.0,156.0,
PANK3,,92.0,167.0,129.5,53.033008588991066
PANK4,,105.5,,105.5,
PAPD4,,139.0,221.0,180.0,57.982756057296896
PAPD7,,,266.0,266.0,
PAPOLA,80.0,122.0,154.5,118.83333333333333,37.35081435970752
PAPSS1,68.0,125.5,120.5,104.66666666666667,31.85252475602732
PAQR4,118.0,,,118.0,
PAQR5,67.0,,,67.0,
PARD6A,82.5,,,82.5,
PARD6B,,,163.0,163.0,
PARG,,,209.0,209.0,
PARK7,73.0,81.0,101.0,85.0,14.422205101855956
PARL,83.0,,,83.0,
PARM1,,,133.0,133.0,
PARN,,98.5,,98.5,
PARP1,94.0,123.0,132.5,116.5,20.05617112013158
PARP2,100.0,156.0,141.5,132.5,29.06458325866724
PARP3,72.0,,,72.0,
PARP4,,,141.5,141.5,
PARP6,,,209.0,209.0,
PARPBP,,,147.0,147.0,
PARVA,,,70.0,70.0,
PATL1,97.0,,,97.0,
PAWR,,139.0,172.0,155.5,23.33452377915607
PAXBP1,,,236.0,236.0,
PAXIP1-AS1,89.5,,,89.5,
PBDC1,,107.5,141.0,124.25,23.68807716974934
PBK,92.0,,145.0,118.5,37.476659402887016
PBX1,,93.0,135.0,114.0,29.698484809834994
PBX3,,92.0,183.5,137.75,64.7002704785691
PC,79.0,,,79.0,
PCBD1,75.0,98.5,94.5,89.33333333333333,12.573119475028198
